,raw_text
17478,"Professor: Yes I would, Kent."
17479,"Chief Wiggum: Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. (THEN ASIDE) Gosh, look at me, I'm sweating like a pig here..."
17480,Chief Wiggum: Ahhh. Aw man... that's better.
17481,"Chief Wiggum: Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on."
17482,"Chief Wiggum: Ow, my jugular! (BEAT, THEN MORE STRUCLING) Any questions?"
17485,"Professor Jonathan Frink: Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety."
17486,"Professor Jonathan Frink: Well, the the real humans won't uh.. won't burn quite so fast there. (NERVOUS LAUGH)"
17487,(Suburban Springfield Street: Ext. suburban Springfield street)
17488,Bart Simpson: (IMPRESSED) Cool! High-tech security system.
17489,(Springfield Street: Ext. springfield street - later)
17490,"Otto Mann: Alright, free laserium. (IN AWE) All the colors of the bow, man."
17491,"Jasper Beardly: (YELLING IN PAIN, THEN) My cataracts are gone! I can see again! All the beauty of nat..."
17492,"Jasper Beardly: (YELLING IN PAIN) I'm blind! (THEN) Oh well, easy come easy go."
17493,(Springfield Retirement Castle: Int. old folks home - Grampa's room)
17494,"Grampa Simpson: (SCREAMS) It's the cat burglar! Please, don't kill me!"
17495,"Molloy: Abe, can I use your ointment?"
17496,"Grampa Simpson: (ANNOYED) Oh, it's you, Molloy. (GRUDGING) Alright. But this time clean off the applicator."
17497,(Kwik-E-Mart: Ext. Kwik-e-mart)
17498,Apu Nahasapeemapetilon: (PLEASANTLY) Thank you for coming. I'll see you in Hell.
17499,(Simpson Home: Int. Simpson house)
17500,"Homer Simpson: Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows."
17501,Marge Simpson: And don't take candy from strangers.
17502,"Homer Simpson: Marge, they're only human."
17503,Lisa Simpson: What's the point of all these precautions? I've already lost the only thing that matters to me.
17504,"Homer Simpson: Oh Lisa, stop pining for your saxophone. I got you another instrument."
17505,"Lisa Simpson: What, this jug?"
17506,"Homer Simpson: Lisa, never, ever stop in the middle of a hoe-down."
17507,Lisa Simpson: (CHOKING BACK TEARS)
17508,"Homer Simpson: (REALIZING) Aw, honey. I didn't realize how much that horn meant to you. (MAKING A VOW) Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something."
17509,Lisa Simpson: Thank you.
17510,"Homer Simpson: You know Lisa, music helps daddy think."
17511,(Flanders Home: ext. flanders house - establishing)
17515,"Ned Flanders: Welcome, neighbors... (CLEARS HIS THROAT) since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!"
17516,Everyone: (CHEERS)
17517,"Ned Flanders: Now, who should lead the group?"
17518,Voice From The Back: You!
17519,Everyone: Yeah! Flanders! Flanders! Flanders!
17520,"Ned Flanders: (FLATTERED) I don't really have very much experience, but I'll be---"
17521,Moe Szyslak: Someone else!
17522,Crowd: Yeah! Someone else! Someone else! Someone else!
17523,Homer Simpson: I'm someone else!
17524,Lenny Leonard: He's right!
17525,"Homer Simpson: (INTERRUPTING) We don't need a thinker, we need a doer. Someone who'll act without considering the consequences."
17526,Crowd: Homer! Homer! Homer!
17527,"Barney Gumble: I'm with you, Homer."
17528,"Captain Horatio McCallister: I be with ya too, matey."
17529,"Seymour Skinner: I'm with you, Homer."
17530,"Moe Szyslak: You're the man, Homer."
17531,Apu Nahasapeemapetilon: You're so good.
17532,"Otto Mann: You're the man, man."
17533,Grampa Simpson: I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...
17534,"Homer Simpson: (CONSIDERS HIM BRIEFLY) Sorry, Dad. You're too old."
17535,"Grampa Simpson: (INDIGNANT) Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!"
17536,IRISH PETE: And a fine job ye did too!
17537,"Homer Simpson: (KINDLY) Aw, Dad, you've done a lot of great things, but you're a very old man now, and old people are useless. (TICKLING HIM) Aren't they? Aren't they? Huh? Yes they are. Yes they are..."
17538,"Grampa Simpson: (GIGGLES BRIEFLY, THEN GETS ANGRY) Stop it! It's a form of abuse!"
17539,"Marge Simpson: I don't think the guns are a good idea, Homer."
17540,"Homer Simpson: Marge, we're responsible adults and..."
17541,Moe Szyslak: Oops.
17542,Homer Simpson: ... and if a group of responsible adults can't handle firearms in a responsible way...
17543,Captain Horatio McCallister: Sorry.
17544,Seymour Skinner: (CHUCKLING) Uh-oh!
17545,Moe Szyslak: (SHEEPISH) Me again.
17546,Bart Simpson: Sorry.
17547,(Moe's Tavern: Int. Moe's)
17548,"Homer Simpson: Okay, we've got the secret vigilante handshake. Now we need code names. I'll be ""Cueball."" Skinner can be ""Eightball"", Barney will be ""Twelveball,"" and Moe, you can be ""Cueball."""
17549,Moe Szyslak: You're an idiot.
17550,(Herman's Military Antiques: Int. Herman's military antiques)
17551,"Herman Hermann: So, wedding, huh?"
17552,"Homer Simpson: No, we're forming a vigilante group."
17553,Herman Hermann: (LOW) Come with me.
17554,(Herman's Military Antiques: Ext. Herman's - back yard)
17555,"Herman Hermann: See, it's a miniature version of the A-bomb. The government built it in the fifties to drop on beatniks."
17556,Beatnik Poet: Radiant cool crazy nightmare. Zen New Jersey nowhere.
17557,Homer Simpson: Put this in your pipe and smoke it.
17558,Beatnik Poet: How now brown bureaucrats.
17559,Homer Simpson: (TEXAN STYLE) Woo Hoo! Woo hoo hoo hoo!
17560,"Homer Simpson: Woo hoo, hoo! Take that Maynard G. Krebs!"
17561,"Herman Hermann: (POINTEDLY) Hey, see this sign?"
17562,Homer Simpson: (SMALL VOICE) Sorry.
17563,"Homer Simpson: (DRAMATICALLY) Okay, men, it's time to clean up this town."
17564,Seymour Skinner: Meaning what exactly?
17565,"Homer Simpson: You know, push people around, make ourselves feel big."
17566,"Homer Simpson: Bart, give me that megaphone of yours."
17567,"Bart Simpson: It's not just a megaphone, Dad. It's a RapMaster 2000."
17568,Homer Simpson: Never mind the commercials. Just give it to me. I've got to whip this neighborhood into shape.
17569,Homer Simpson: (THROUGH MEGAPHONE) Move along there.
17570,Twelve-year-old: (AWESTRUCK) It's Hammer!
17571,Homer Simpson: (THROUGH MEGAPHONE) Return to your homes and places of businesses!
17572,"Homer Simpson: Hey you, where'd you get that saxophone?"
17573,Student: (INNOCENTLY) Sears.
17574,Homer Simpson: Get him!
17575,(Suburban Home: Ext. suburban home)
17576,Homer Simpson: No burning leaves without a permit!
17577,Man: I got one.
17578,Homer Simpson: Too late.
17579,"Homer Simpson: You better have a good reason for doing that, boy."
17580,Jimbo Jones: It makes me feel like a big man.
17483,Homer Simpson: (BEAT) Let me check my reason list.
17484,Homer Simpson: Yep. It's on here.
17512,"Jimbo Jones: Hey, you're that drunken posse. Wow, can I join you?"
17513,Homer Simpson: I dunno. Can you swing a sack of door knobs?
17514,Jimbo Jones: Can I?!
17581,Homer Simpson: You're in. Here's the sack.
17582,Moe Szyslak: (GRUFFLY) But you gotta supply your own knobs.
17583,(Simpson Home: Int. Simpson house - Dining room - evening)
17584,"Homer Simpson: So I said to him, ""Look buddy, your car was upside down when we got here. And as for your Grandma, she shouldn't have mouthed off like that."""
17585,"Lisa Simpson: (INTERRUPTING) Dad, don't you see you're abusing your power like all vigilantes? I mean, if you're the police, who will police the police?"
17586,Homer Simpson: I 'unno. Coast Guard?
17587,"Marge Simpson: Homer, wasn't the whole point to catch the cat burglar?"
17588,Lisa Simpson: And I still don't have my saxophone.
17589,"Homer Simpson: Lisa, the mob is working on getting your saxophone back, but we've also expanded into other important areas."
17590,Homer Simpson: (READING) Literacy programs... preserving our beloved covered bridges... world domination...
17591,Lisa Simpson: World domination?
17592,"Homer Simpson: Oh, that might be a typo."
148557,"Homer's Brain: Mental note: ""The girl knows too much."""
17593,(Smartline Studio: INT. SMARTLINE STUDIO)
17594,"Kent Brockman: Mr. Simpson, how do you respond to the charge that petty vandalism such as graffiti is down 80 percent, while heavy sack beatings are up a shocking 900 percent?"
17595,"Homer Simpson: Aw, people can come up with statistics to prove anything, Kent. Forty percent of all people know that."
17596,"Kent Brockman: I see. Well, what do you say to the accusation that your group has been causing more crimes than it's been preventing?"
17597,"Homer Simpson: Oh, Kent, I'd be lying if I said my men weren't committing crimes. (LONG PAUSE)"
17598,Kent Brockman: (IMPRESSED) Touché.
17599,"Kent Brockman: Well, it looks like we have our first caller. And I mean ever, because this is not a call-in show. (THEN) Hello, you're on the air."
17600,"Cat Burglar: Hello, Kent. Hello, Homer, my arch nemesis."
17601,Homer Simpson: Y'ello.
17602,"Cat Burglar: Uh, you do realize who this is..."
17603,Homer Simpson: Uh... Marge?
17604,"Cat Burglar: No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen."
17605,Homer Simpson: Why you monster! And you have my daughter's saxophone too!
17606,"Kent Brockman: Homer, that's our stage manager!"
17607,Homer Simpson: (EMBARRASSED) Oh sorry. I'm a little nervous.
17608,"Cat Burglar: It may interest you to know that for my next crime I'll be pinching the pride and joy of the Springfield Museum, the world's largest cubic zirconia."
17609,"Homer Simpson: Listen, Mr. Cat Burglar, I vow to go without sleep and guard the Springfield museum day and night for as long as it takes, from now on (CONSIDERING) unless you want to taunt me more by giving me an approximate time."
17610,Homer Simpson: (À LA MERV) We'll be right back.
17611,Kent Brockman: (ANNOYED) I get to say that.
17612,(Springfield Museum: Ext. Springfield museum - night)
17613,"Grampa Simpson: Son, we wanna help you catch that plug-ugly-yegg."
17614,"Homer Simpson: (CONDESCENDING) Dad, the best way for you to help is to set a good example. Just stand around and don't steal anything."
17615,Homer Simpson: Hey!
17616,Grampa Simpson: We're on our break!
17617,Seymour Skinner: Any sign of the burglar yet?
17618,Homer Simpson: (SMALL SMILE) He'll show.
17619,Seymour Skinner: How's that?
17620,Homer Simpson: It's his job.
17621,Seymour Skinner: (BEAT) How's that?
17622,Homer Simpson: He's a burglar.
17623,"Homer Simpson: Well, Mr. Cat Burglar, you'd like to get in here, wouldn't you? There's just one little problem. Thirty-six years ago some lady gave birth to a man named Homer J. Sim --(SPOTTING SOMETHING) Oh my God! Underage kids drinking beer without a permit!"
17624,Kids: Chug! Chug! Chug! Chug! Chug!
17625,(Simpson Home: INT. Simpson home)
17626,Homer Simpson: Asleep at the switch! I wasn't asleep! I was drunk!
17627,"Bart Simpson: (TENDERLY) I believe you, Dad."
17628,"Homer Simpson: Well, no matter what the paper says, I still have a job to do."
17629,(Simpson Home: Ext. Simpsons' House)
17630,"Barney Gumble: Go home, Simpson."
17631,"Jimbo Jones: You let me down, man. Now I don't believe in nothing no more. I'm going to law school."
17632,Homer Simpson: Nooooo!
17633,"Lisa Simpson: Dad, maybe this will cheer you up."
17634,"Homer Simpson: (MOANS) Oh, this doesn't work any more."
17635,Homer Simpson: (QUICKLY) I didn't say stop.
17636,(Simpson Home: Int. Simpsons House - Day)
17637,Marge Simpson: Oh my! I had no idea how much this town loved that zirconia.
17638,Grampa Simpson: Let me through! Coming through!
17639,"Lisa Simpson: Oh, Grampa. They pelted you too?"
17640,Grampa Simpson: No. Actually I fell down at the Big Boy.
17641,"Grampa Simpson: Son, I've come to help you. I know who the cat burglar is."
17642,"Lisa Simpson: (EXCITED, AD LIBBING) What? Who? Huh? What?"
17643,"Grampa Simpson: (GLOATING) Well, well, well. Before I was too old and no one wanted my help. Suddenly, look who comes to old Grampa for--wait! Where're you going?"
17644,Grampa Simpson: (PATHETIC) Come back. I'll tell you.
17645,Grampa Simpson: He was right under my nose the whole time. He lives in my retirement home. His name is Molloy.
17646,"Lisa Simpson: Wow! How'd you track him down, Grampa?"
17647,Grampa Simpson: Good question.
17648,(Hallway: int. hallway)
17649,Grampa Simpson: On one of my frequent trips to the ground... I noticed Molloy wore sneakers.
17650,Grampa Simpson: (POINTEDLY) For sneaking! My next clue came just yesterday at the museum. We felt slighted by your age-bashing and started home.
17651,(Museum: ext. museum)
17652,"Grampa Simpson: Molloy said, 'I'll catch up with you.'"
17653,"Grampa Simpson: I couldn't quite put my finger on it. There was something strange about the way he walked. Much more vertical than usual. And finally, Molloy, unlike most retired people, has the world's largest cubic zirconia on his coffee table."
17654,"Homer Simpson: Aw, Dad, I could kiss you."
17655,Grampa Simpson: Well kiss me right here. It's the only part that still has feeling.
17656,(Simpson Home: ext. simpson house)
17657,Homer Simpson: No wait! I know where the burglar is!
17658,Grampa Simpson: To the retirement home!
17659,Crowd: Hooray!
17660,(Springfield Retirement Castle: Int. old folks home - cat burglar's room)
17661,Seymour Skinner: And there she is: the world's largest cubic zirconia.
17662,Moe Szyslak: What an eyesore.
17663,"Homer Simpson: (SMOOTHLY) So, Mr. Molloy. It seems that the cat has been caught by the very person that was trying to catch him."
17664,Seymour Skinner: How ironic.
17665,"Molloy: Homer old chum. Well done. If anyone was going to catch me, I'm glad it was you."
17666,"Homer Simpson: Actually, it wasn't me. It was my Dad, Grampa."
17667,"Grampa Simpson: Thanks, son. So you see old people aren't so useless after all. Molloy's old and he outsmarted the lot of ya. And I'm even older and I outsmarted him. (LAUGHS)"
17668,Moe Szyslak: Shut up.
17669,Grampa Simpson: I've had my moment.
17670,"Molloy: And of course, I'm happy to return all of your treasured possessions."
17671,"Molloy: (HANDING IT TO HER) Selma, my dear, your lock of MacGyver's hair."
17672,Selma Bouvier: (EXCITED NOISE) Thank you. I'll add it to the ball.
17673,"Molloy: And little Lisa, here's your saxophone."
17674,"Lisa Simpson: Thank you. And thank you, Dad. You got it back, just like you said you would."
17675,"Molloy: I sincerely regret any inconvenience I may have caused. And although I have stolen your material goods, let me assure you that your dear town has stolen my heart."
17676,Crowd: (TOUCHED) Awwwww.
17677,"Seymour Skinner: Oh, he's so charming!"
17678,Barney Gumble: Let's let him go.
17679,Crowd: Yeah!
17680,"Chief Wiggum: Oh, sorry, folks. Gee, I really hate to spoil this little love-in, but Mr. Molloy broke the law. And when you break the law, you gotta go to jail."
17681,"Mayor Joe Quimby: Uh, that reminds me, uh, here's your monthly kickback."
17682,"Chief Wiggum: You just, you couldn't have picked a worse time."
17683,(Springfield Police Station: Int. police station)
17684,Homer Simpson: (SINGSONG) I caught the cat burglar. I caught the cat burglar. That means you. You are the cat burglar.
17685,Molloy: (SHIFTY) I suppose you're wondering where I hid all the millions of dollars I stole over the years.
17686,Homer Simpson: Shut up.
17687,"Chief Wiggum: Oh, wait a minute. Maybe we should uh, hear him out. Where'd you hide the loot, Molloy?"
17688,"Molloy: It's buried right here in Springfield, under a Big T."
17689,Homer Simpson: (VERY CASUAL) No kidding.
17690,"Chief Wiggum: (VERY CASUAL) Big T, huh?"
17691,"Homer Simpson: Well, I guess I'll be going to my home now and... sleep."
17692,"Chief Wiggum: Yeah, me too. I will also go home for sleep."
17693,(Downtown Springfield: Ext. downtown Springfield)
17694,Homer Simpson: (FRANTIC) Lemme through! I gotta find a Big T. There's millions of dollars buried under a Big T!
17695,(Springfield Police Station: Int. police station - MOLLOY'S cell)
17696,Chief Wiggum: We need more information.
17697,Molloy: It's buried at 4723 Maple Valley Road.
17698,"Molloy: Ah, you take highway 201 south for 15 minutes... take a left at the left."
17699,"Barney Gumble: Oh, that was fun, ladies!"
17700,"Driver: (À LA PHIL SILVERS) Whatsa matter with you, kid? You told me the stream was shallow. Why you... (FRUSTRATED LAUGHTER) oh kid... I'll kill you..."
17701,"Kent Brockman: Hordes of panicky people seem to be evacuating the town for some unknown reason. Professor, without knowing precisely what the danger is, would you say it's time for our viewers to crack each other's heads open and feast on the goo inside?"
17702,"Professor: Yes I would, Kent."
17703,(Park: Ext. Park)
17704,"Otto Mann: Whoa, I found something!"
17705,Chief Wiggum: (DISAPPOINTED) It's just a piece of paper.
17706,Homer Simpson: (EXCITED) It's mine!
17707,"Homer Simpson: (READING) ""Frightfully sorry, but there is no hidden treasure. I have already used this time to escape from your jail. Fondest wishes."" Oh, I can't make out this signature."
17708,Mayor Joe Quimby: Keep digging. We're bound to find something.
17709,Mayor Joe Quimby: Hmmm. I guess we're not gonna find anything.
17710,"Otto Mann: Uh, how're we gonna get outta here?"
17711,Homer Simpson: (TRIUMPHANTLY) We'll dig our way out! (GRUNTING NOISES)
17712,"Chief Wiggum: No, no! Dig up, stupid!"
